userName,score,at,content,clean_content
Egi Maulana,4,2025-09-07 10:36:36,aplikasi nyaman bagus 👍 tapi sering terjadi pending saat pembukaan pitur.tolong diperbaiki.,aplikasi nyaman bagus 👍 tapi sering terjadi pending saat pembukaan pitur.tolong diperbaiki.
Yamato Jr,5,2025-09-07 10:35:39,mantap pokok nya,mantap pokok nya
Didan Ar,5,2025-09-07 10:34:26,saya tidak bisa login,saya tidak bisa login
aria saputera,5,2025-09-07 10:34:19,sangat baik,sangat baik
Sumartiuyy Sumartiuyy,2,2025-09-07 10:32:13,ada kendala Mulu,ada kendala mulu
Samsung A12,2,2025-09-07 10:31:20,beres di download kenapa gak bisa masuk keluar terus ?,beres di download kenapa gak bisa masuk keluar terus ?
Lister Saragih,5,2025-09-07 10:30:04,agar bisa menyimpan uang,agar bisa menyimpan uang
Arbi Ansah,4,2025-09-07 10:29:16,min kenapa akun dana saya tidak bisa dibukak?? sudah 3 hari,min kenapa akun dana saya tidak bisa dibukak?? sudah 3 hari
Septiyantriyoko Yoko,5,2025-09-07 10:29:07,Bagus,bagus
Bah Raen,5,2025-09-07 14:14:03,Kasih bintang 4 dulu karena baru pemula belum tau kedepannya,kasih bintang 4 dulu karena baru pemula belum tau kedepannya
Nisa Anggita,5,2025-09-07 14:10:23,dana Memang Mantap,dana memang mantap
Prachi Aurellina,5,2025-09-07 14:07:56,baguus,baguus
Wali redfox,1,2025-09-07 14:05:51,"aplikasi tidak jelas, saldo tiba"" berkurang..","aplikasi tidak jelas, saldo tiba"" berkurang.."
Defri Cahdapi,1,2025-09-07 14:05:30,"aplikasi dana jelek download baru disuruh update, udah di update gak bisa masuk disuruh nunggu besok.","aplikasi dana jelek download baru disuruh update, udah di update gak bisa masuk disuruh nunggu besok."
Agus Ridha Juanda Juanda,4,2025-09-07 14:05:16,dana cicil saya limit ny kok terlalu kecil..sya sering gunakan dana cicil tetapi limit ny tidak bertambah,dana cicil saya limit ny kok terlalu kecil..sya sering gunakan dana cicil tetapi limit ny tidak bertambah
denz el ulum,3,2025-09-07 14:03:39,👍,👍
Er Caniago,5,2025-09-07 14:02:58,ok,ok
Pau A Min,5,2025-09-07 14:02:43,"apk nya baguss,kueang nya padaa fitur dana instan ngga ada","apk nya baguss,kueang nya padaa fitur dana instan ngga ada"
Baberaya Sinuhaji,2,2025-09-07 13:58:45,"Mau login tapi kendala nya disuruh menunggu besok terus, padahal sudah 3x24 jm","mau login tapi kendala nya disuruh menunggu besok terus, padahal sudah 3x24 jm"
nando nando,5,2025-09-07 13:58:05,"tolong si ini akun dana saya nomor nya sudah hilang,,terus saya mau masuk ke akun dana harus pakek kode otp,padahal sudah masukin sandi sama verifikasi wajah,,masa masih harus pkek kode otp,,gimna saldo yg ada di akun dana saya,apa masih bisa di ambil🙏🙏","tolong si ini akun dana saya nomor nya sudah hilang,,terus saya mau masuk ke akun dana harus pakek kode otp,padahal sudah masukin sandi sama verifikasi wajah,,masa masih harus pkek kode otp,,gimna saldo yg ada di akun dana saya,apa masih bisa di ambil🙏🙏"
Asep Awaludin,5,2025-09-07 13:56:59,gampang untuk transaksi,gampang untuk transaksi
Totok Parjo,5,2025-09-07 13:52:55,puas bgt,puas bgt
Ari Superi,5,2025-09-07 13:52:24,ko gak bisah mijam uang cicilan,ko gak bisah mijam uang cicilan
hengky gunstar,5,2025-09-07 13:52:08,"kok gak bisa masuk devosis saya dr brimo,selebihnya oke,","kok gak bisa masuk devosis saya dr brimo,selebihnya oke,"
Agus rono rene,5,2025-09-07 13:51:01,baik dan sangat membantu mudah di pahami,baik dan sangat membantu mudah di pahami
Suryadi Surya,5,2025-09-07 13:50:47,mantap,mantap
Imam Pratama,5,2025-09-07 13:45:19,lumayan,lumayan
Vika Anggraini,2,2025-09-07 13:44:51,karena mau meng unstal nya lama,karena mau meng unstal nya lama
Fadiah Azizah,5,2025-09-07 13:44:03,Cepat dan aman,cepat dan aman
cecep hendrik,5,2025-09-07 13:43:36,terbaik tersimple dalam transaksi,terbaik tersimple dalam transaksi
Arya Belinyu,5,2025-09-07 13:41:02,ok bagus,ok bagus
Jack Jsk,5,2025-09-07 13:40:30,aplikasi yg bagus aman untuk segala pembayaran,aplikasi yg bagus aman untuk segala pembayaran
dedi Sunil,5,2025-09-07 13:40:24,persi terbaru donk boss masih persi lama,persi terbaru donk boss masih persi lama
Ridha linlan,5,2025-09-07 13:39:46,makasih,makasih
Cien Aprhylio Aphrylio,5,2025-09-07 13:38:38,good luk,good luk
Lyna Liem,1,2025-09-07 13:36:54,app dana kenapa? tidak bisa ke buka ini akun dana saya ada uang 100.000 lebih,app dana kenapa? tidak bisa ke buka ini akun dana saya ada uang 100.000 lebih
Hair Uddin,5,2025-09-07 13:34:42,Dana tingkatkan kwalitas pelayanan yg ok,dana tingkatkan kwalitas pelayanan yg ok
Dwi Prayitno,5,2025-09-07 13:32:39,"mau cetak qris, kok malah masuk ke menu pengaturan hp??","mau cetak qris, kok malah masuk ke menu pengaturan hp??"
Brilian dhofir Febriansyah,1,2025-09-07 13:30:48,tidak bisa verifikasi dana premium,tidak bisa verifikasi dana premium
Itile Inci,5,2025-09-07 13:30:32,sangat baik bagus,sangat baik bagus
xxx yuar,5,2025-09-07 13:30:14,kenapa saya selalu mengalami gangguan jaringan saat ingin masuk ke dana,kenapa saya selalu mengalami gangguan jaringan saat ingin masuk ke dana
Catur Elpin,1,2025-09-07 13:30:06,kurang aman akun saya di bobol dan dan saldo saya hilang semua seketika,kurang aman akun saya di bobol dan dan saldo saya hilang semua seketika
Anfi A,5,2025-09-07 13:29:12,sangat bagus,sangat bagus
laila mth,5,2025-09-07 13:27:46,mantap,mantap
Galih Fals,2,2025-09-07 13:26:41,ni da gangguan apa kok apk dana gak bisa d buka,ni da gangguan apa kok apk dana gak bisa d buka
Dedik Hariyanto,5,2025-09-07 13:25:51,Apk sejuta umat..😁👌,apk sejuta umat..😁👌
Abuy Bjo,2,2025-09-07 13:24:19,"kenapa akun saya tidak bisa login,padahal jarang di pake","kenapa akun saya tidak bisa login,padahal jarang di pake"
Wahyu Kurniadin,1,2025-09-07 13:24:03,"ko ga bisa masuk verifikasi wajahnya yah, basanya kalau mau masuk langsung verikifikasi wajah","ko ga bisa masuk verifikasi wajahnya yah, basanya kalau mau masuk langsung verikifikasi wajah"
Hanang Choirul,1,2025-09-07 13:23:58,"aplikasi kok lemot, sehrusnya lancar karena untuk transaksi cepat.. masak kalah sama gopay sangat cepat","aplikasi kok lemot, sehrusnya lancar karena untuk transaksi cepat.. masak kalah sama gopay sangat cepat"
jumarsia jumarsiacia,5,2025-09-07 13:22:35,best banget berguna banget bgus pkoknya gk repot jdi bisa belanja di rumah aja,best banget berguna banget bgus pkoknya gk repot jdi bisa belanja di rumah aja
Haris haikal haikal,5,2025-09-07 13:20:27,mantul,mantul
Susanti Cann,2,2025-09-07 13:19:42,masih pertama kali sih memakai dana semuga berkah,masih pertama kali sih memakai dana semuga berkah
Syahla Genit,5,2025-09-07 13:18:58,seru banget,seru banget
Dian Palembang,5,2025-09-07 13:17:44,tolong PULIHKAN AKUN DANA SAYA !!! TANPA HARUS DIMINTA KODE OTP !,tolong pulihkan akun dana saya !!! tanpa harus diminta kode otp !
Suli Suli,1,2025-09-07 13:17:19,gak bisa di gunakan pakai dana ini,gak bisa di gunakan pakai dana ini
Dian Setyorini,5,2025-09-07 13:17:08,berbaharap akun saya bisa ada menu dana cicil dan dana instan,berbaharap akun saya bisa ada menu dana cicil dan dana instan
Naip Vivo,1,2025-09-07 13:15:50,sangat memudahkan,sangat memudahkan
Rizky Mubarok,1,2025-09-07 13:15:36,"pemidahan akun atas nama sendiri susah padahal data pribadi sendiri akun asli saya malah di persulit dan di perlama, costumer service juga pelayanan nyaa jelek banget,woyy akun sendiri susah masuk mana ada uang nyaaa, pengalaman yang buruk gunain dana!!!buat cs dana memble prioritaskan tapi sama aja gak ada yang beresssss!!","pemidahan akun atas nama sendiri susah padahal data pribadi sendiri akun asli saya malah di persulit dan di perlama, costumer service juga pelayanan nyaa jelek banget,woyy akun sendiri susah masuk mana ada uang nyaaa, pengalaman yang buruk gunain dana!!!buat cs dana memble prioritaskan tapi sama aja gak ada yang beresssss!!"
Kentung Untung,5,2025-09-07 13:12:31,Luar biasa,luar biasa
Bang Albin,5,2025-09-07 13:12:21,mantap,mantap
JA ROT,5,2025-09-07 13:12:18,nice,nice
Samsir bahri Samsir,4,2025-09-07 13:12:12,sangat bagus,sangat bagus
Rizal Bajol,5,2025-09-07 13:11:39,Alhamdulillah mantap,alhamdulillah mantap
Happy Stefan,5,2025-09-07 13:10:31,bagus,bagus
Eka Rahayu,4,2025-09-07 13:10:14,semoga bisa membantu dan memberikan pelayanan terbaik,semoga bisa membantu dan memberikan pelayanan terbaik
Li Na,5,2025-09-07 13:07:25,sangat memuaskan praktis bt transaksi,sangat memuaskan praktis bt transaksi
Maman Sumantri,4,2025-09-07 13:03:46,matap 👍,matap 👍
Erick Evyniezz,5,2025-09-07 13:01:46,kenapa dana cicilnya gk bsa di pakai,kenapa dana cicilnya gk bsa di pakai
Nur Muhammad Akbar,5,2025-09-07 13:00:31,bagus,bagus
Muhammad Rafi,2,2025-09-07 13:00:16,selalu ada kesalahan emang sangat bagus tapi ad kendala kesalahan,selalu ada kesalahan emang sangat bagus tapi ad kendala kesalahan
Many Sianturi,5,2025-09-07 13:00:11,knpa aku sya mau tidak muncul dana instan,knpa aku sya mau tidak muncul dana instan
Sanz Ganz,5,2025-09-07 12:59:58,baguss,baguss
Zar Qoni,5,2025-09-07 12:59:58,DANA ok,dana ok
Shandy Silvia,5,2025-09-07 12:55:19,sangat bagus,sangat bagus
Indah Natasari,2,2025-09-07 12:52:33,selalu minta pembaruan,selalu minta pembaruan
Budi Setiawan,5,2025-09-07 12:52:11,ok,ok
Claudia Sari,5,2025-09-07 12:51:21,"bagus dan bener² berguna,,, keamanan terjaga,, sangat best","bagus dan bener² berguna,,, keamanan terjaga,, sangat best"
Dedi Saputra,5,2025-09-07 12:50:53,terbaik,terbaik
Sudim Mukromin,4,2025-09-07 12:50:24,oke,oke
Fatkhur Rohman,5,2025-09-07 12:50:21,cpat n baik,cpat n baik
Otom Cing otom,5,2025-09-07 12:48:02,sangat bgus,sangat bgus
Zamzam Mora,5,2025-09-07 12:47:56,ok,ok
Muhammad Ridho,5,2025-09-07 12:47:48,saya mau bertanya akun dana saya yang sudah saya daftarkan menjadi akun premium kenapa tiba tiba bisa di hack orang dan nomor berubah menjadi nomor yang tidak saya kenali,saya mau bertanya akun dana saya yang sudah saya daftarkan menjadi akun premium kenapa tiba tiba bisa di hack orang dan nomor berubah menjadi nomor yang tidak saya kenali
Maulana Fajar,5,2025-09-07 12:47:46,mantap,mantap
na tasya,1,2025-09-07 12:46:27,mau login aja kok susah ...apus aja ini aplikasi,mau login aja kok susah ...apus aja ini aplikasi
La Farouq,5,2025-09-07 12:46:12,baik,baik
Arya Barbar Scaff,3,2025-09-07 12:45:29,😤,😤
Aldy Chaniago,5,2025-09-07 12:43:32,bagus banget,bagus banget
Farid,5,2025-09-07 12:43:29,sangat membantu saya dalam hal transaksi keuangan...trima ksh DANA...,sangat membantu saya dalam hal transaksi keuangan...trima ksh dana...
[MHD] [AGUS],5,2025-09-07 12:39:45,senang dengan apkny gak ribet,senang dengan apkny gak ribet
Afif Maulana,5,2025-09-07 12:39:23,bgus,bgus
Asna Wati,5,2025-09-07 12:35:49,baik,baik
Ettta Bunga,5,2025-09-07 12:35:00,bagus,bagus
Dodi Mahendra,5,2025-09-07 12:33:45,bagus,bagus
Meli Rosna,2,2025-09-07 12:31:25,saya ada kendala di aplikasi dana kenapa di setiap mau instal selalu di katakan perbaharui dan aplikasi dana tidak berfungsi di perangkat saya..,saya ada kendala di aplikasi dana kenapa di setiap mau instal selalu di katakan perbaharui dan aplikasi dana tidak berfungsi di perangkat saya..
Chaerudin Udin,5,2025-09-07 12:31:19,"sengat puas, dan membantu","sengat puas, dan membantu"
Hoki Ml,5,2025-09-07 12:29:30,saldo harian gratis,saldo harian gratis
Sigit Wardana,5,2025-09-07 12:22:30,semoga aplikasi nya maju terus,semoga aplikasi nya maju terus
Nopri Sianturi,3,2025-09-07 12:22:09,selamat,selamat
Dedi Darmadi,5,2025-09-07 12:21:25,mantap tapi sayang dana cicil saya tidak bisa di gunakan kenapa dan mengapa apa kendalanya tolong di aktifkan dana cicilnya .,mantap tapi sayang dana cicil saya tidak bisa di gunakan kenapa dan mengapa apa kendalanya tolong di aktifkan dana cicilnya .
Dik Vpn,1,2025-09-07 12:19:31,suka keluar sendiri,suka keluar sendiri
Umma Aisya,5,2025-09-07 12:18:54,puassss bangetttt🎀,puassss bangetttt🎀
Erwi Nda,5,2025-09-07 12:17:27,mudah untuk bertransaksi,mudah untuk bertransaksi
Soleh Saputra,5,2025-09-07 12:17:17,sangat berguna di dunia jaman sekarang,sangat berguna di dunia jaman sekarang
eil 26,5,2025-09-07 12:15:18,aplikasi nya sangat membantu untuk ber transaksi,aplikasi nya sangat membantu untuk ber transaksi
queindah Sinurat,1,2025-09-07 12:15:09,di suruh update tapi pas ke play store gk ada yg di update,di suruh update tapi pas ke play store gk ada yg di update
Indra Herlambang,5,2025-09-07 12:15:08,bagus skali,bagus skali
Susy Lesmonowati,2,2025-09-07 12:14:46,terpaksa saya turunin dulu bintangnya...Limit DANA CICILnya gk bisa dipake...hanya jd pajangan saja...,terpaksa saya turunin dulu bintangnya...limit dana cicilnya gk bisa dipake...hanya jd pajangan saja...
Yuli Siti mariam,5,2025-09-07 12:13:44,transfer cepat gratis ke semua bank..👍,transfer cepat gratis ke semua bank..👍
bunda suci subhanallh,5,2025-09-07 12:13:35,knpa dana skrng ngg bisa di buka,knpa dana skrng ngg bisa di buka
mail.addserver. mlbbp,5,2025-09-07 12:12:41,bagus bangett sangat membantu dalam memperlu saaat untuk transaksi,bagus bangett sangat membantu dalam memperlu saaat untuk transaksi
Feri Pirmansyah,2,2025-09-07 12:11:48,dana makin kesini makin parah aja akun dana aku gabisa masuk terkunci tolong dong di perbaiki lagi,dana makin kesini makin parah aja akun dana aku gabisa masuk terkunci tolong dong di perbaiki lagi
Nabil Yansyah,1,2025-09-07 12:10:29,"top up e wallet 25k kena pajak Rp999 ketika masuk saldo ke rekening yang di top up hanya keterima 24k ,ini sih udah kelewatan saat pemotongan pajak walaupun hanya Rp1.999, jika ada terus terusan begini yang ada merugikan pengguna","top up e wallet 25k kena pajak rp999 ketika masuk saldo ke rekening yang di top up hanya keterima 24k ,ini sih udah kelewatan saat pemotongan pajak walaupun hanya rp1.999, jika ada terus terusan begini yang ada merugikan pengguna"
Arianto Anto,5,2025-09-07 12:10:23,sangat membantu,sangat membantu
Ridho Andhika,5,2025-09-07 12:10:20,bagus,bagus
Patris Sius,5,2025-09-07 12:09:43,sangat membantu,sangat membantu
Agus sulistyo Sulistyo,5,2025-09-07 12:07:31,baik,baik
Pandi Pandi,5,2025-09-07 12:06:28,mantap,mantap
Ronald Wekan,5,2025-09-07 12:05:10,sangat membantu,sangat membantu
akbar habibi,2,2025-09-07 12:03:21,Mau Top Up game malah error. Mau kirim saldo ke GoPay error. Rasanya kayak serba gak bisa aja ni DANA! Kalau di desa saya ini ada orang yang bisa Top Up GoPay udah saya tinggalin ni DANA!,mau top up game malah error. mau kirim saldo ke gopay error. rasanya kayak serba gak bisa aja ni dana! kalau di desa saya ini ada orang yang bisa top up gopay udah saya tinggalin ni dana!
Jackson Samuel,5,2025-09-07 12:00:31,tolong aktifkan dana cicil akun saya,tolong aktifkan dana cicil akun saya
Ismi Ramadanti,1,2025-09-07 12:00:17,pdhl sudah premium biasanya ga perlu pake kode otp cukup pake vermuk saldo masih banyak malah di beku kan,pdhl sudah premium biasanya ga perlu pake kode otp cukup pake vermuk saldo masih banyak malah di beku kan
Sum Arno,5,2025-09-07 11:59:12,bagus,bagus
doni saputra,1,2025-09-07 11:57:42,Saya kasi bintang satu saya pengguna lama dan aktif bertans saksi tapi kenapa Dana cicil saya tidak ada. Tolong lah 😠😒😒suda 2 tahun lebih dan aktif dan saya suda mengajukan ke live chat dana tetap saja fitur dana cicil tidak ada sangat kecewa,saya kasi bintang satu saya pengguna lama dan aktif bertans saksi tapi kenapa dana cicil saya tidak ada. tolong lah 😠😒😒suda 2 tahun lebih dan aktif dan saya suda mengajukan ke live chat dana tetap saja fitur dana cicil tidak ada sangat kecewa
sutikno tikno,2,2025-09-07 11:56:51,kok bisa bisanya dana saya GK bisa di buka ??,kok bisa bisanya dana saya gk bisa di buka ??
Kurniawan Sandi,5,2025-09-07 11:56:07,tlong benar kan dana cicil saya ngpa tidak bisa di guna kan,tlong benar kan dana cicil saya ngpa tidak bisa di guna kan
Emyr Hauzan,4,2025-09-07 11:56:03,baik lumayan n,baik lumayan n
Rendy Rindi,1,2025-09-07 11:56:02,ga bisa update,ga bisa update
Alim Rohman,5,2025-09-07 11:52:45,sangat membantu,sangat membantu
shelvya fadzrin,5,2025-09-07 11:49:54,mantap,mantap
Agus Solikhin,5,2025-09-07 11:49:34,dana mudah buat transfer dan bayar,dana mudah buat transfer dan bayar
pedut Simarhitong,1,2025-09-07 11:47:53,aku yg sudah di beku kan tidak bisa di buka kembali,aku yg sudah di beku kan tidak bisa di buka kembali
Feby tri Nabila,2,2025-09-07 11:47:20,kenapa sekarang nggak bisa di pake di hp Oppo a16 di suruh update apk udah di update tapi di suruh update apk terus nggak bisa masuk ke akun aku,kenapa sekarang nggak bisa di pake di hp oppo a16 di suruh update apk udah di update tapi di suruh update apk terus nggak bisa masuk ke akun aku
Ayah Syifa,5,2025-09-07 11:46:54,bagus,bagus
Babang Zain,5,2025-09-07 11:46:51,ok,ok
Saepuloh Aep,5,2025-09-07 11:45:21,ok,ok
Arul,5,2025-09-07 11:45:20,Update terbaru,update terbaru
Rista Umbola,5,2025-09-07 11:44:15,Bagus,bagus
Lienlien Carliani,5,2025-09-07 11:42:50,sangan bermanfaat,sangan bermanfaat
Fahri_walker 123,5,2025-09-07 11:41:06,mantap dah,mantap dah
Ediardus Dedik,3,2025-09-07 11:40:25,sangat bermanfaat 🙏,sangat bermanfaat 🙏
Siti Khodijah89,5,2025-09-07 11:37:51,Terimakasih dana . sangat membantu banget,terimakasih dana . sangat membantu banget
Ibrahim Boim,5,2025-09-07 11:37:07,menarik,menarik
Jalila Jalila,5,2025-09-07 11:31:55,no comen,no comen
Robi 12,1,2025-09-07 11:31:10,"tidak habis pikir saya sama aplikasi dana kok bisa akun yang belum premium tapi harus verifikasi wajah, makin ke sini nyusain penggunaan doang....","tidak habis pikir saya sama aplikasi dana kok bisa akun yang belum premium tapi harus verifikasi wajah, makin ke sini nyusain penggunaan doang...."
ba bay,4,2025-09-07 11:27:45,boros baterai,boros baterai
ELYSABETH JUSUF,5,2025-09-07 11:26:58,Lengkap dan mudah digumakan,lengkap dan mudah digumakan
Ahmad Andri,1,2025-09-07 11:26:16,knpa dana cicil saya tidak berlaku dan gk bisa di gunain padahal saya gk ada tunggakan sma skali dan di limit dana cicil jga saldo nya ada pelayanan buruk klu gk bisa di gunain mending gk usah di munculin saya sudah hampir 8 thun lebih pke dana tapi saya sangat2 kecewa pelayanan buruk,knpa dana cicil saya tidak berlaku dan gk bisa di gunain padahal saya gk ada tunggakan sma skali dan di limit dana cicil jga saldo nya ada pelayanan buruk klu gk bisa di gunain mending gk usah di munculin saya sudah hampir 8 thun lebih pke dana tapi saya sangat2 kecewa pelayanan buruk
Adha Fizz,5,2025-09-07 11:25:57,mantap,mantap
jynai malia,1,2025-09-07 11:24:59,"Saya mengalami kendala saat mencoba masuk kembali ke aplikasi DANA. Setiap kali saya membuka aplikasi, layar hanya menampilkan tampilan putih (blank), lalu aplikasi langsung keluar sendiri seperti pada foto yang saya lampirkan. Sudah saya coba berulang kali, namun hasilnya tetap sama. Mohon bantuannya untuk menyelesaikan masalah ini, karena saya sedang membutuhkan akses untuk melakukan top-up.","saya mengalami kendala saat mencoba masuk kembali ke aplikasi dana. setiap kali saya membuka aplikasi, layar hanya menampilkan tampilan putih (blank), lalu aplikasi langsung keluar sendiri seperti pada foto yang saya lampirkan. sudah saya coba berulang kali, namun hasilnya tetap sama. mohon bantuannya untuk menyelesaikan masalah ini, karena saya sedang membutuhkan akses untuk melakukan top-up."
Aldi Maulana,1,2025-09-07 11:24:27,apk tidak bisa di percaya masa saldo syaa tiba tiba ilang dan saya pun tidak pernah melakukan transaksi,apk tidak bisa di percaya masa saldo syaa tiba tiba ilang dan saya pun tidak pernah melakukan transaksi
Anggun Anggun,2,2025-09-07 11:23:55,aplikasi error,aplikasi error
Maspion Brata,1,2025-09-07 11:23:08,"baru kali ini nyesel senyesal nya,barusan kejadian isi kuota tapi salah nomor,bukan sekali ngisi nomor ke tujuan yg benar,dan kalau kita isi nomor yg sering kita tuju pasti akan muncul otomatis nomor yg sering kita isi pulsa/kuota,aku klik otomatis nomor itu 4 kali saya cek sebelum klik kuota nya dan sudah benar,sampai costumer saya beberapa DM saya bahwasanya belum masuk,dan saya cek nota pembelian kenapa bisa nomor yg di tuju keliru ? sebelum saya klik pembelian nomor itu sudah benar loh,aneh","baru kali ini nyesel senyesal nya,barusan kejadian isi kuota tapi salah nomor,bukan sekali ngisi nomor ke tujuan yg benar,dan kalau kita isi nomor yg sering kita tuju pasti akan muncul otomatis nomor yg sering kita isi pulsa/kuota,aku klik otomatis nomor itu 4 kali saya cek sebelum klik kuota nya dan sudah benar,sampai costumer saya beberapa dm saya bahwasanya belum masuk,dan saya cek nota pembelian kenapa bisa nomor yg di tuju keliru ? sebelum saya klik pembelian nomor itu sudah benar loh,aneh"
Ryo_ Otaku,5,2025-09-07 11:22:52,Kenapa Kalo login Habis itu di suruh Very Malah Keluar lagi di suruh Ngulang2 Terus anj Malas bet dah,kenapa kalo login habis itu di suruh very malah keluar lagi di suruh ngulang2 terus anj malas bet dah
Revalza nicolas,1,2025-09-07 11:21:29,apacoba malah suruh updet,apacoba malah suruh updet
AnggiTaufik R,1,2025-09-07 11:20:59,"ini aplikasi kenapa dah, suruh update mulu tapi gak ada yang bisa di update! Kocak kocak gajelas bgt","ini aplikasi kenapa dah, suruh update mulu tapi gak ada yang bisa di update! kocak kocak gajelas bgt"
AGUS SUGIH,5,2025-09-07 11:20:43,Keren,keren
Dafa Ihktibar Dabutar,5,2025-09-07 11:19:52,"bagus dan mantap, gda pending² pengiriman","bagus dan mantap, gda pending² pengiriman"
Mika Yla,5,2025-09-07 11:19:33,ok,ok
Elis Lisnawati,5,2025-09-07 11:19:24,sangat bagus transfer ke bank mana pun gratis,sangat bagus transfer ke bank mana pun gratis
Rifal Vazri,5,2025-09-07 11:19:23,keren,keren
Junaedi Juned,5,2025-09-07 11:18:57,wow...kereeeen bngt dana. transefrran layanannya cepat tanpa lama tanpa ribet..sukses selalu utk dana...trima kasih👌👌🙏👍,wow...kereeeen bngt dana. transefrran layanannya cepat tanpa lama tanpa ribet..sukses selalu utk dana...trima kasih👌👌🙏👍
Ahmad Khunaeni,5,2025-09-07 11:18:33,sangat membantunya,sangat membantunya
agus Siswanto,5,2025-09-07 11:17:53,praktis segala ada,praktis segala ada
alfian ashafani,5,2025-09-07 11:15:58,"sudah update terus ke versi terbaru, sudah premium, Sudah sering banget transaksi lewat apk dana, tapi masih saja belum dikasih paylater","sudah update terus ke versi terbaru, sudah premium, sudah sering banget transaksi lewat apk dana, tapi masih saja belum dikasih paylater"
Kelapa Tua,5,2025-09-07 11:14:19,Sangat penting,sangat penting
Jarotalridho Ridho,5,2025-09-07 11:14:03,saya sudah lama mengunakan dana kok GK ada pinjaman paylater,saya sudah lama mengunakan dana kok gk ada pinjaman paylater
Nurjanah Janah,5,2025-09-07 11:12:41,bagus,bagus
aezak mira,1,2025-09-07 11:12:34,parah2 lemot mau cek aktivitas butuh bukti pembayaran ke orang kacau2,parah2 lemot mau cek aktivitas butuh bukti pembayaran ke orang kacau2
nong,5,2025-09-07 11:12:14,Very good,very good
Iqral Lathif,4,2025-09-07 11:11:24,baik,baik
Raditia Saputra,5,2025-09-07 11:09:51,bagus,bagus
WAHYU PRAWIRANEGARA,5,2025-09-07 11:09:33,ok bnget kirim uang dengan cepat👍👍👍👍👍,ok bnget kirim uang dengan cepat👍👍👍👍👍
As Ridho,5,2025-09-07 11:06:16,kenapa akun lama tidak bisa login ya padahal sudah verifikasi wajah sma sidik jari tolong dibantu dong,kenapa akun lama tidak bisa login ya padahal sudah verifikasi wajah sma sidik jari tolong dibantu dong
Rachmat Agung,5,2025-09-07 11:05:35,saya gak bisa buka aplikasi dana nya tolong kak,saya gak bisa buka aplikasi dana nya tolong kak
yudhi sugiarto (Bl44z33r),5,2025-09-07 11:04:52,"fitur baru , sept 2025","fitur baru , sept 2025"
Ajis Sucipto,3,2025-09-07 11:04:48,kok app nya bertingkah baget sekarang suruh update ke dana premium udah di update masih ngak bisa di kirim uang nya,kok app nya bertingkah baget sekarang suruh update ke dana premium udah di update masih ngak bisa di kirim uang nya
Suirah Ira,5,2025-09-07 11:03:30,jos,jos
Tarsono Timbul,5,2025-09-07 11:03:28,masih belum bisa masuk,masih belum bisa masuk
Dominic Taylor,1,2025-09-07 11:02:38,👎👎👎👎👎ribet,👎👎👎👎👎ribet
Rusli Lausu,5,2025-09-07 11:01:53,mudah cara penggunaannya,mudah cara penggunaannya
Yusuf Efendi,4,2025-09-07 10:59:20,mntap,mntap
nurafifah,4,2025-09-07 10:57:54,kenapa kok ngga bisa up ke dana premium terus udah coba berkali kali katanya 'nik ktp tidak konsisten' padahal udah bener,kenapa kok ngga bisa up ke dana premium terus udah coba berkali kali katanya 'nik ktp tidak konsisten' padahal udah bener
Zidan Batam,2,2025-09-07 10:56:38,halo min dana cicil kapan ya rilisnya,halo min dana cicil kapan ya rilisnya
soon yhisa,4,2025-09-07 10:53:52,"halo dana, sebelumnya saya pake dana nyaman2 saja tapi kenapa td mlm minta d update lalu saya update malah hari ini saat saya buka fitur eMas tidak bisa ya?? tolong solusinya donk dana","halo dana, sebelumnya saya pake dana nyaman2 saja tapi kenapa td mlm minta d update lalu saya update malah hari ini saat saya buka fitur emas tidak bisa ya?? tolong solusinya donk dana"
Kenzie Prayitna,5,2025-09-07 10:53:35,semoga amanah,semoga amanah
Rojai alfatir,5,2025-09-07 10:51:17,sangat bagus dan membantu terimakasih,sangat bagus dan membantu terimakasih
Luthfy Fyy,5,2025-09-07 10:50:10,susab,susab
Ade Aziz,1,2025-09-07 10:49:52,aplikasiii taiiiii isi token dari kemaren tulisannya diproses trus taiiii rumah tokennya udah abis isi dari kemaren gabisa mana saldo ga dikembaliin ati2 aplikasi penipuuuuu,aplikasiii taiiiii isi token dari kemaren tulisannya diproses trus taiiii rumah tokennya udah abis isi dari kemaren gabisa mana saldo ga dikembaliin ati2 aplikasi penipuuuuu
Bobbelawabob1 Belawa,5,2025-09-07 10:49:21,lebih cepat' lebih bagus,lebih cepat' lebih bagus
Hadi Yanto,5,2025-09-07 10:49:11,"sekarang tambah bagus , operasi sistem sudah cepat ,,mantap deh","sekarang tambah bagus , operasi sistem sudah cepat ,,mantap deh"
Aji Wanaka,5,2025-09-07 10:48:28,yayay,yayay
Nong Ell,5,2025-09-07 10:47:29,sangat mudah dan amn,sangat mudah dan amn
refli rumampuk Epi rumampuk,5,2025-09-07 10:46:03,Alhamdulillah bisa nabung uang,alhamdulillah bisa nabung uang
Herman Tail,5,2025-09-07 10:45:07,sangat bagus,sangat bagus
LOMBOK TENGAH,5,2025-09-07 10:42:52,puas banget,puas banget
Nurcholis Adam,5,2025-09-07 10:40:13,"mudah dan cepat,terpercaya Apl Dana","mudah dan cepat,terpercaya apl dana"
