userName,score,at,content,clean_content,p1_lower,p2_tokens,p3_no_stop,p4_regex,p5_stem,p6_lemma,p7_pos,p8_ner,p9_chunk,p10_abbrev,p11_emoji,p12_aug
eil 26,5,2025-09-07 12:15:18,aplikasi nya sangat membantu untuk ber transaksi,aplikasi nya sangat membantu untuk ber transaksi,aplikasi nya sangat membantu untuk ber transaksi,"['aplikasi', 'nya', 'sangat', 'membantu', 'untuk', 'ber', 'transaksi']","['aplikasi', 'nya', 'membantu', 'ber', 'transaksi']","['aplikasi', 'nya', 'membantu', 'ber', 'transaksi']","['aplikasi', 'nya', 'bantu', 'ber', 'transaksi']","['aplikasi', 'nya', 'bantu', 'ber', 'transaksi']","[('aplikasi', 'PROPN'), ('nya', 'PROPN'), ('bantu', 'VERB'), ('ber', 'NOUN'), ('transaksi', 'NOUN')]","[('aplikasi nya', 'ORG'), ('ber', 'ORG')]","[('aplikasi nya', 'NP'), ('ber transaksi', 'NP')]","['aplikasi', 'nya', 'bantu', 'ber', 'transaksi']","['aplikasi', 'nya', 'bantu', 'ber', 'transaksi']","['aplikasi', 'nya', 'Bantu', 'ber', 'transaksi']"
queindah Sinurat,1,2025-09-07 12:15:09,di suruh update tapi pas ke play store gk ada yg di update,di suruh update tapi pas ke play store gk ada yg di update,di suruh update tapi pas ke play store gk ada yg di update,"['di', 'suruh', 'update', 'tapi', 'pas', 'ke', 'play', 'store', 'gk', 'ada', 'yg', 'di', 'update']","['suruh', 'update', 'pas', 'play', 'store', 'gk', 'yg', 'update']","['suruh', 'update', 'pas', 'play', 'store', 'gk', 'yg', 'update']","['suruh', 'update', 'pas', 'play', 'store', 'gk', 'yg', 'update']","['suruh', 'update', 'pa', 'play', 'store', 'gk', 'yg', 'update']","[('suruh', 'PROPN'), ('update', 'NOUN'), ('pa', 'PROPN'), ('play', 'PROPN'), ('store', 'NOUN'), ('gk', 'ADJ'), ('yg', 'NOUN'), ('update', 'NOUN')]",[],"[('suruh update', 'NP'), ('pa play store', 'NP'), ('gk yg update', 'NP')]","['suruh', 'update', 'pa', 'play', 'store', 'tidak', 'yang', 'update']","['suruh', 'update', 'pa', 'play', 'store', 'tidak', 'yang', 'update']","['suruh', 'update', 'dad', 'play', 'shop', 'tidak', 'yang', 'update']"
Indra Herlambang,5,2025-09-07 12:15:08,bagus skali,bagus skali,bagus skali,"['bagus', 'skali']","['bagus', 'skali']","['bagus', 'skali']","['bagus', 'skali']","['bagus', 'skali']","[('bagus', 'PROPN'), ('skali', 'PROPN')]",[],"[('bagus skali', 'NP')]","['bagus', 'skali']","['bagus', 'skali']","['bagus', 'skali']"
Susy Lesmonowati,2,2025-09-07 12:14:46,terpaksa saya turunin dulu bintangnya...Limit DANA CICILnya gk bisa dipake...hanya jd pajangan saja...,terpaksa saya turunin dulu bintangnya...limit dana cicilnya gk bisa dipake...hanya jd pajangan saja...,terpaksa saya turunin dulu bintangnya...limit dana cicilnya gk bisa dipake...hanya jd pajangan saja...,"['terpaksa', 'saya', 'turunin', 'dulu', 'bintangnya', '...', 'limit', 'dana', 'cicilnya', 'gk', 'bisa', 'dipake', '...', 'hanya', 'jd', 'pajangan', 'saja', '...']","['terpaksa', 'turunin', 'bintangnya', '...', 'limit', 'dana', 'cicilnya', 'gk', 'dipake', '...', 'jd', 'pajangan', '...']","['terpaksa', 'turunin', 'bintangnya', 'limit', 'dana', 'cicilnya', 'gk', 'dipake', 'jd', 'pajangan']","['paksa', 'turunin', 'bintang', 'limit', 'dana', 'cicil', 'gk', 'dipake', 'jd', 'pajang']","['paksa', 'turunin', 'bintang', 'limit', 'dana', 'cicil', 'gk', 'dipake', 'jd', 'pajang']","[('paksa', 'PROPN'), ('turunin', 'PROPN'), ('bintang', 'PROPN'), ('limit', 'PROPN'), ('dana', 'PROPN'), ('cicil', 'PROPN'), ('gk', 'PROPN'), ('dipake', 'PROPN'), ('jd', 'PROPN'), ('pajang', 'PROPN')]","[('dana cicil', 'PERSON')]","[('paksa turunin bintang limit dana cicil', 'NP'), ('jd pajang', 'NP')]","['paksa', 'turunin', 'bintang', 'limit', 'dana', 'cicil', 'tidak', 'dipake', 'jadi', 'pajang']","['paksa', 'turunin', 'bintang', 'limit', 'dana', 'cicil', 'tidak', 'dipake', 'jadi', 'pajang']","['paksa', 'turunin', 'bintang', 'limit', 'Danu', 'cicil', 'tidak', 'dipake', 'jadi', 'pajang']"
Yuli Siti mariam,5,2025-09-07 12:13:44,transfer cepat gratis ke semua bank..👍,transfer cepat gratis ke semua bank..👍,transfer cepat gratis ke semua bank..👍,"['transfer', 'cepat', 'gratis', 'ke', 'semua', 'bank', '..', '👍']","['transfer', 'cepat', 'gratis', 'bank', '..', '👍']","['transfer', 'cepat', 'gratis', 'bank', '👍']","['transfer', 'cepat', 'gratis', 'bank', '']","['transfer', 'cepat', 'gratis', 'bank', '']","[('transfer', 'NOUN'), ('cepat', 'PROPN'), ('gratis', 'NOUN'), ('bank', 'NOUN')]",[],"[('transfer cepat gratis bank', 'NP')]","['transfer', 'cepat', 'gratis', 'bank', '']","['transfer', 'cepat', 'gratis', 'bank', '']","['transportation', 'cepat', 'complimentary', 'bank', '']"
bunda suci subhanallh,5,2025-09-07 12:13:35,knpa dana skrng ngg bisa di buka,knpa dana skrng ngg bisa di buka,knpa dana skrng ngg bisa di buka,"['knpa', 'dana', 'skrng', 'ngg', 'bisa', 'di', 'buka']","['knpa', 'dana', 'skrng', 'ngg', 'buka']","['knpa', 'dana', 'skrng', 'ngg', 'buka']","['knpa', 'dana', 'skrng', 'ngg', 'buka']","['knpa', 'dana', 'skrng', 'ngg', 'buka']","[('knpa', 'PROPN'), ('dana', 'PROPN'), ('skrng', 'VERB'), ('ngg', 'PROPN'), ('buka', 'PROPN')]","[('knpa dana', 'PERSON')]","[('knpa dana', 'NP'), ('ngg buka', 'NP')]","['knpa', 'dana', 'skrng', 'ngg', 'buka']","['knpa', 'dana', 'skrng', 'ngg', 'buka']","['knpa', 'Danu', 'skrng', 'ngg', 'buka']"
mail.addserver. mlbbp,5,2025-09-07 12:12:41,bagus bangett sangat membantu dalam memperlu saaat untuk transaksi,bagus bangett sangat membantu dalam memperlu saaat untuk transaksi,bagus bangett sangat membantu dalam memperlu saaat untuk transaksi,"['bagus', 'bangett', 'sangat', 'membantu', 'dalam', 'memperlu', 'saaat', 'untuk', 'transaksi']","['bagus', 'bangett', 'membantu', 'memperlu', 'saaat', 'transaksi']","['bagus', 'bangett', 'membantu', 'memperlu', 'saaat', 'transaksi']","['bagus', 'bangett', 'bantu', 'perlu', 'saaat', 'transaksi']","['bagus', 'bangett', 'bantu', 'perlu', 'saaat', 'transaksi']","[('bagus', 'PROPN'), ('bangett', 'PROPN'), ('bantu', 'PROPN'), ('perlu', 'PROPN'), ('saaat', 'PROPN'), ('transaksi', 'PROPN')]","[('bagus bangett', 'PERSON')]","[('bagus bangett', 'NP'), ('perlu saaat transaksi', 'NP')]","['bagus', 'bangett', 'bantu', 'perlu', 'saaat', 'transaksi']","['bagus', 'bangett', 'bantu', 'perlu', 'saaat', 'transaksi']","['bagus', 'bangett', 'Bantu', 'perlu', 'saaat', 'transaksi']"
Feri Pirmansyah,2,2025-09-07 12:11:48,dana makin kesini makin parah aja akun dana aku gabisa masuk terkunci tolong dong di perbaiki lagi,dana makin kesini makin parah aja akun dana aku gabisa masuk terkunci tolong dong di perbaiki lagi,dana makin kesini makin parah aja akun dana aku gabisa masuk terkunci tolong dong di perbaiki lagi,"['dana', 'makin', 'kesini', 'makin', 'parah', 'aja', 'akun', 'dana', 'aku', 'gabisa', 'masuk', 'terkunci', 'tolong', 'dong', 'di', 'perbaiki', 'lagi']","['dana', 'kesini', 'parah', 'aja', 'akun', 'dana', 'gabisa', 'masuk', 'terkunci', 'tolong', 'perbaiki']","['dana', 'kesini', 'parah', 'aja', 'akun', 'dana', 'gabisa', 'masuk', 'terkunci', 'tolong', 'perbaiki']","['dana', 'kesini', 'parah', 'aja', 'akun', 'dana', 'gabisa', 'masuk', 'kunci', 'tolong', 'baik']","['dana', 'kesini', 'parah', 'aja', 'akun', 'dana', 'gabisa', 'masuk', 'kunci', 'tolong', 'baik']","[('dana', 'PROPN'), ('kesini', 'PROPN'), ('parah', 'PROPN'), ('aja', 'PROPN'), ('akun', 'PROPN'), ('dana', 'PROPN'), ('gabisa', 'PROPN'), ('masuk', 'PROPN'), ('kunci', 'PROPN'), ('tolong', 'PROPN'), ('baik', 'PROPN')]","[('dana kesini parah', 'PERSON'), ('akun dana gabisa masuk kunci', 'PERSON')]","[('dana kesini parah aja akun dana gabisa masuk kunci tolong baik', 'NP')]","['dana', 'kesini', 'parah', 'aja', 'akun', 'dana', 'gabisa', 'masuk', 'kunci', 'tolong', 'baik']","['dana', 'kesini', 'parah', 'aja', 'akun', 'dana', 'gabisa', 'masuk', 'kunci', 'tolong', 'baik']","['Danu', 'kesini', 'parah', 'aja', 'akun', 'Danu', 'gabisa', 'masuk', 'kunci', 'tolong', 'baik']"
Nabil Yansyah,1,2025-09-07 12:10:29,"top up e wallet 25k kena pajak Rp999 ketika masuk saldo ke rekening yang di top up hanya keterima 24k ,ini sih udah kelewatan saat pemotongan pajak walaupun hanya Rp1.999, jika ada terus terusan begini yang ada merugikan pengguna","top up e wallet 25k kena pajak rp999 ketika masuk saldo ke rekening yang di top up hanya keterima 24k ,ini sih udah kelewatan saat pemotongan pajak walaupun hanya rp1.999, jika ada terus terusan begini yang ada merugikan pengguna","top up e wallet 25k kena pajak rp999 ketika masuk saldo ke rekening yang di top up hanya keterima 24k ,ini sih udah kelewatan saat pemotongan pajak walaupun hanya rp1.999, jika ada terus terusan begini yang ada merugikan pengguna","['top', 'up', 'e', 'wallet', '25k', 'kena', 'pajak', 'rp999', 'ketika', 'masuk', 'saldo', 'ke', 'rekening', 'yang', 'di', 'top', 'up', 'hanya', 'keterima', '24k', ',', 'ini', 'sih', 'udah', 'kelewatan', 'saat', 'pemotongan', 'pajak', 'walaupun', 'hanya', 'rp1', '.', '999', ',', 'jika', 'ada', 'terus', 'terusan', 'begini', 'yang', 'ada', 'merugikan', 'pengguna']","['top', 'e', 'wallet', '25k', 'kena', 'pajak', 'rp999', 'masuk', 'saldo', 'rekening', 'top', 'keterima', '24k', ',', 'sih', 'udah', 'kelewatan', 'pemotongan', 'pajak', 'rp1', '.', '999', ',', 'terusan', 'merugikan', 'pengguna']","['top', 'e', 'wallet', '25k', 'kena', 'pajak', 'rp999', 'masuk', 'saldo', 'rekening', 'top', 'keterima', '24k', 'sih', 'udah', 'kelewatan', 'pemotongan', 'pajak', 'rp1', '999', 'terusan', 'merugikan', 'pengguna']","['top', 'e', 'wallet', '25k', 'kena', 'pajak', 'rp999', 'masuk', 'saldo', 'rekening', 'top', 'terima', '24k', 'sih', 'udah', 'lewat', 'potong', 'pajak', 'rp1', '999', 'terus', 'rugi', 'guna']","['top', 'e', 'wallet', '25k', 'kena', 'pajak', 'rp999', 'masuk', 'saldo', 'rekening', 'top', 'terima', '24k', 'sih', 'udah', 'lewat', 'potong', 'pajak', 'rp1', '999', 'terus', 'rugi', 'guna']","[('top', 'ADJ'), ('e', 'NOUN'), ('wallet', 'NOUN'), ('25k', 'NUM'), ('kena', 'NOUN'), ('pajak', 'VERB'), ('rp999', 'NOUN'), ('masuk', 'NOUN'), ('saldo', 'NOUN'), ('rekening', 'VERB'), ('top', 'NOUN'), ('terima', 'NOUN'), ('24k', 'NOUN'), ('sih', 'PROPN'), ('udah', 'PROPN'), ('lewat', 'PROPN'), ('potong', 'PROPN'), ('pajak', 'PROPN'), ('rp1', 'NOUN'), ('999', 'NUM'), ('terus', 'NOUN'), ('rugi', 'PROPN'), ('guna', 'NOUN')]","[('25k', 'CARDINAL'), ('kena', 'GPE'), ('rp1', 'PERSON'), ('999', 'CARDINAL')]","[('25k kena', 'NP'), ('rekening top terima 24k', 'NP'), ('sih udah', 'NP'), ('potong pajak', 'NP'), ('999 terus rugi guna', 'NP')]","['top', 'e', 'wallet', '25k', 'kena', 'pajak', 'rp999', 'masuk', 'saldo', 'rekening', 'top', 'terima', '24k', 'sih', 'udah', 'lewat', 'potong', 'pajak', 'rp1', '999', 'terus', 'rugi', 'guna']","['top', 'e', 'wallet', '25k', 'kena', 'pajak', 'rp999', 'masuk', 'saldo', 'rekening', 'top', 'terima', '24k', 'sih', 'udah', 'lewat', 'potong', 'pajak', 'rp1', '999', 'terus', 'rugi', 'guna']","['top', 'vitamin_E', 'wallet', '25k', 'kena', 'pajak', 'rp999', 'masuk', 'saldo', 'rekening', 'top', 'terima', '24k', 'sih', 'udah', 'lewat', 'potong', 'pajak', 'rp1', '999', 'terus', 'rugi', 'guna']"
Arianto Anto,5,2025-09-07 12:10:23,sangat membantu,sangat membantu,sangat membantu,"['sangat', 'membantu']",['membantu'],['membantu'],['bantu'],['bantu'],"[('bantu', 'VERB')]",[],[],['bantu'],['bantu'],['Bantu']
Ridho Andhika,5,2025-09-07 12:10:20,bagus,bagus,bagus,['bagus'],['bagus'],['bagus'],['bagus'],['bagus'],"[('bagus', 'PROPN')]",[],"[('bagus', 'NP')]",['bagus'],['bagus'],['bagus']
Patris Sius,5,2025-09-07 12:09:43,sangat membantu,sangat membantu,sangat membantu,"['sangat', 'membantu']",['membantu'],['membantu'],['bantu'],['bantu'],"[('bantu', 'VERB')]",[],[],['bantu'],['bantu'],['Bantu']
Agus sulistyo Sulistyo,5,2025-09-07 12:07:31,baik,baik,baik,['baik'],[],[],[],[],[],[],[],[],[],[]
Pandi Pandi,5,2025-09-07 12:06:28,mantap,mantap,mantap,['mantap'],['mantap'],['mantap'],['mantap'],['mantap'],"[('mantap', 'NOUN')]",[],"[('mantap', 'NP')]",['mantap'],['mantap'],['mantap']
Ronald Wekan,5,2025-09-07 12:05:10,sangat membantu,sangat membantu,sangat membantu,"['sangat', 'membantu']",['membantu'],['membantu'],['bantu'],['bantu'],"[('bantu', 'VERB')]",[],[],['bantu'],['bantu'],['Bantu']
akbar habibi,2,2025-09-07 12:03:21,Mau Top Up game malah error. Mau kirim saldo ke GoPay error. Rasanya kayak serba gak bisa aja ni DANA! Kalau di desa saya ini ada orang yang bisa Top Up GoPay udah saya tinggalin ni DANA!,mau top up game malah error. mau kirim saldo ke gopay error. rasanya kayak serba gak bisa aja ni dana! kalau di desa saya ini ada orang yang bisa top up gopay udah saya tinggalin ni dana!,mau top up game malah error. mau kirim saldo ke gopay error. rasanya kayak serba gak bisa aja ni dana! kalau di desa saya ini ada orang yang bisa top up gopay udah saya tinggalin ni dana!,"['mau', 'top', 'up', 'game', 'malah', 'error', '.', 'mau', 'kirim', 'saldo', 'ke', 'gopay', 'error', '.', 'rasanya', 'kayak', 'serba', 'gak', 'bisa', 'aja', 'ni', 'dana', '!', 'kalau', 'di', 'desa', 'saya', 'ini', 'ada', 'orang', 'yang', 'bisa', 'top', 'up', 'gopay', 'udah', 'saya', 'tinggalin', 'ni', 'dana', '!']","['top', 'game', 'error', '.', 'kirim', 'saldo', 'gopay', 'error', '.', 'kayak', 'serba', 'gak', 'aja', 'ni', 'dana', '!', 'desa', 'orang', 'top', 'gopay', 'udah', 'tinggalin', 'ni', 'dana', '!']","['top', 'game', 'error', 'kirim', 'saldo', 'gopay', 'error', 'kayak', 'serba', 'gak', 'aja', 'ni', 'dana', 'desa', 'orang', 'top', 'gopay', 'udah', 'tinggalin', 'ni', 'dana']","['top', 'game', 'error', 'kirim', 'saldo', 'gopay', 'error', 'kayak', 'serba', 'gak', 'aja', 'ni', 'dana', 'desa', 'orang', 'top', 'gopay', 'udah', 'tinggalin', 'ni', 'dana']","['top', 'game', 'error', 'kirim', 'saldo', 'gopay', 'error', 'kayak', 'serba', 'gak', 'aja', 'ni', 'dana', 'desa', 'orang', 'top', 'gopay', 'udah', 'tinggalin', 'ni', 'dana']","[('top', 'ADJ'), ('game', 'NOUN'), ('error', 'NOUN'), ('kirim', 'PROPN'), ('saldo', 'PROPN'), ('gopay', 'PROPN'), ('error', 'NOUN'), ('kayak', 'PROPN'), ('serba', 'PROPN'), ('gak', 'PROPN'), ('aja', 'PROPN'), ('ni', 'PROPN'), ('dana', 'PROPN'), ('desa', 'PROPN'), ('orang', 'PROPN'), ('top', 'ADJ'), ('gopay', 'PROPN'), ('udah', 'PROPN'), ('tinggalin', 'PROPN'), ('ni', 'PROPN'), ('dana', 'PROPN')]","[('kayak serba gak aja', 'ORG'), ('dana desa orang', 'PERSON'), ('dana', 'PERSON')]","[('top game error kirim saldo gopay error kayak serba gak aja ni dana desa', 'NP'), ('orang top gopay', 'NP'), ('udah', 'NP'), ('tinggalin ni', 'NP')]","['top', 'game', 'error', 'kirim', 'saldo', 'gopay', 'error', 'kayak', 'serba', 'gak', 'aja', 'ni', 'dana', 'desa', 'orang', 'top', 'gopay', 'udah', 'tinggalin', 'ni', 'dana']","['top', 'game', 'error', 'kirim', 'saldo', 'gopay', 'error', 'kayak', 'serba', 'gak', 'aja', 'ni', 'dana', 'desa', 'orang', 'top', 'gopay', 'udah', 'tinggalin', 'ni', 'dana']","['top', 'game', 'mistake', 'kirim', 'saldo', 'gopay', 'mistake', 'kayak', 'serba', 'gak', 'aja', 'nickel', 'Danu', 'desa', 'orangutan', 'top', 'gopay', 'udah', 'tinggalin', 'nickel', 'Danu']"
Jackson Samuel,5,2025-09-07 12:00:31,tolong aktifkan dana cicil akun saya,tolong aktifkan dana cicil akun saya,tolong aktifkan dana cicil akun saya,"['tolong', 'aktifkan', 'dana', 'cicil', 'akun', 'saya']","['tolong', 'aktifkan', 'dana', 'cicil', 'akun']","['tolong', 'aktifkan', 'dana', 'cicil', 'akun']","['tolong', 'aktif', 'dana', 'cicil', 'akun']","['tolong', 'aktif', 'dana', 'cicil', 'akun']","[('tolong', 'PROPN'), ('aktif', 'PROPN'), ('dana', 'PROPN'), ('cicil', 'PROPN'), ('akun', 'PROPN')]",[],"[('tolong aktif dana cicil', 'NP'), ('akun', 'NP')]","['tolong', 'aktif', 'dana', 'cicil', 'akun']","['tolong', 'aktif', 'dana', 'cicil', 'akun']","['tolong', 'aktif', 'Danu', 'cicil', 'akun']"
Ismi Ramadanti,1,2025-09-07 12:00:17,pdhl sudah premium biasanya ga perlu pake kode otp cukup pake vermuk saldo masih banyak malah di beku kan,pdhl sudah premium biasanya ga perlu pake kode otp cukup pake vermuk saldo masih banyak malah di beku kan,pdhl sudah premium biasanya ga perlu pake kode otp cukup pake vermuk saldo masih banyak malah di beku kan,"['pdhl', 'sudah', 'premium', 'biasanya', 'ga', 'perlu', 'pake', 'kode', 'otp', 'cukup', 'pake', 'vermuk', 'saldo', 'masih', 'banyak', 'malah', 'di', 'beku', 'kan']","['pdhl', 'premium', 'ga', 'pake', 'kode', 'otp', 'pake', 'vermuk', 'saldo', 'beku']","['pdhl', 'premium', 'ga', 'pake', 'kode', 'otp', 'pake', 'vermuk', 'saldo', 'beku']","['pdhl', 'premium', 'ga', 'pake', 'kode', 'otp', 'pake', 'vermuk', 'saldo', 'beku']","['pdhl', 'premium', 'ga', 'pake', 'kode', 'otp', 'pake', 'vermuk', 'saldo', 'beku']","[('pdhl', 'PROPN'), ('premium', 'PROPN'), ('ga', 'PROPN'), ('pake', 'PROPN'), ('kode', 'PROPN'), ('otp', 'PROPN'), ('pake', 'PROPN'), ('vermuk', 'PROPN'), ('saldo', 'PROPN'), ('beku', 'PROPN')]","[('ga', 'ORG'), ('kode otp', 'PERSON'), ('vermuk saldo beku', 'PERSON')]","[('pdhl premium', 'NP'), ('ga pake kode otp pake vermuk saldo beku', 'NP')]","['pdhl', 'premium', 'tidak', 'pake', 'kode', 'otp', 'pake', 'vermuk', 'saldo', 'beku']","['pdhl', 'premium', 'tidak', 'pake', 'kode', 'otp', 'pake', 'vermuk', 'saldo', 'beku']","['pdhl', 'premium', 'tidak', 'pake', 'kode', 'otp', 'pake', 'vermuk', 'saldo', 'beku']"
Sum Arno,5,2025-09-07 11:59:12,bagus,bagus,bagus,['bagus'],['bagus'],['bagus'],['bagus'],['bagus'],"[('bagus', 'PROPN')]",[],"[('bagus', 'NP')]",['bagus'],['bagus'],['bagus']
doni saputra,1,2025-09-07 11:57:42,Saya kasi bintang satu saya pengguna lama dan aktif bertans saksi tapi kenapa Dana cicil saya tidak ada. Tolong lah 😠😒😒suda 2 tahun lebih dan aktif dan saya suda mengajukan ke live chat dana tetap saja fitur dana cicil tidak ada sangat kecewa,saya kasi bintang satu saya pengguna lama dan aktif bertans saksi tapi kenapa dana cicil saya tidak ada. tolong lah 😠😒😒suda 2 tahun lebih dan aktif dan saya suda mengajukan ke live chat dana tetap saja fitur dana cicil tidak ada sangat kecewa,saya kasi bintang satu saya pengguna lama dan aktif bertans saksi tapi kenapa dana cicil saya tidak ada. tolong lah 😠😒😒suda 2 tahun lebih dan aktif dan saya suda mengajukan ke live chat dana tetap saja fitur dana cicil tidak ada sangat kecewa,"['saya', 'kasi', 'bintang', 'satu', 'saya', 'pengguna', 'lama', 'dan', 'aktif', 'bertans', 'saksi', 'tapi', 'kenapa', 'dana', 'cicil', 'saya', 'tidak', 'ada', '.', 'tolong', 'lah', '😠', '😒', '😒', 'suda', '2', 'tahun', 'lebih', 'dan', 'aktif', 'dan', 'saya', 'suda', 'mengajukan', 'ke', 'live', 'chat', 'dana', 'tetap', 'saja', 'fitur', 'dana', 'cicil', 'tidak', 'ada', 'sangat', 'kecewa']","['kasi', 'bintang', 'pengguna', 'aktif', 'bertans', 'saksi', 'dana', 'cicil', '.', 'tolong', '😠', '😒', '😒', 'suda', '2', 'aktif', 'suda', 'mengajukan', 'live', 'chat', 'dana', 'fitur', 'dana', 'cicil', 'kecewa']","['kasi', 'bintang', 'pengguna', 'aktif', 'bertans', 'saksi', 'dana', 'cicil', 'tolong', '😠', '😒', '😒', 'suda', '2', 'aktif', 'suda', 'mengajukan', 'live', 'chat', 'dana', 'fitur', 'dana', 'cicil', 'kecewa']","['kasi', 'bintang', 'guna', 'aktif', 'bertans', 'saksi', 'dana', 'cicil', 'tolong', '', '', '', 'suda', '2', 'aktif', 'suda', 'aju', 'live', 'chat', 'dana', 'fitur', 'dana', 'cicil', 'kecewa']","['kasi', 'bintang', 'guna', 'aktif', 'bertans', 'saksi', 'dana', 'cicil', 'tolong', '', '', '', 'suda', '2', 'aktif', 'suda', 'aju', 'live', 'chat', 'dana', 'fitur', 'dana', 'cicil', 'kecewa']","[('kasi', 'PROPN'), ('bintang', 'PROPN'), ('guna', 'PROPN'), ('aktif', 'PROPN'), ('bertans', 'PROPN'), ('saksi', 'PROPN'), ('dana', 'PROPN'), ('cicil', 'PROPN'), ('tolong', 'PROPN'), ('   ', 'SPACE'), ('suda', 'VERB'), ('2', 'NUM'), ('aktif', 'NOUN'), ('suda', 'NOUN'), ('aju', 'VERB'), ('live', 'ADJ'), ('chat', 'PROPN'), ('dana', 'PROPN'), ('fitur', 'PROPN'), ('dana', 'PROPN'), ('cicil', 'PROPN'), ('kecewa', 'PROPN')]","[('kasi bintang guna', 'PERSON'), ('dana cicil', 'PERSON'), ('2', 'CARDINAL'), ('dana fitur dana cicil kecewa', 'PERSON')]","[('kasi', 'NP'), ('2 aktif', 'NP'), ('suda', 'NP'), ('live chat', 'NP')]","['kasi', 'bintang', 'guna', 'aktif', 'bertans', 'saksi', 'dana', 'cicil', 'tolong', '', '', '', 'suda', '2', 'aktif', 'suda', 'aju', 'live', 'chat', 'dana', 'fitur', 'dana', 'cicil', 'kecewa']","['kasi', 'bintang', 'guna', 'aktif', 'bertans', 'saksi', 'dana', 'cicil', 'tolong', '', '', '', 'suda', '2', 'aktif', 'suda', 'aju', 'live', 'chat', 'dana', 'fitur', 'dana', 'cicil', 'kecewa']","['kasi', 'bintang', 'guna', 'aktif', 'bertans', 'saksi', 'Danu', 'cicil', 'tolong', '', '', '', 'suda', 'two', 'aktif', 'suda', 'aju', 'populate', 'chat', 'Danu', 'fitur', 'Danu', 'cicil', 'kecewa']"
sutikno tikno,2,2025-09-07 11:56:51,kok bisa bisanya dana saya GK bisa di buka ??,kok bisa bisanya dana saya gk bisa di buka ??,kok bisa bisanya dana saya gk bisa di buka ??,"['kok', 'bisa', 'bisanya', 'dana', 'saya', 'gk', 'bisa', 'di', 'buka', '?', '?']","['bisanya', 'dana', 'gk', 'buka', '?', '?']","['bisanya', 'dana', 'gk', 'buka']","['bisa', 'dana', 'gk', 'buka']","['bisa', 'dana', 'gk', 'buka']","[('bisa', 'PROPN'), ('dana', 'PROPN'), ('gk', 'PROPN'), ('buka', 'PROPN')]","[('dana gk', 'PERSON')]","[('bisa dana gk buka', 'NP')]","['bisa', 'dana', 'tidak', 'buka']","['bisa', 'dana', 'tidak', 'buka']","['bisa', 'Danu', 'tidak', 'buka']"
Kurniawan Sandi,5,2025-09-07 11:56:07,tlong benar kan dana cicil saya ngpa tidak bisa di guna kan,tlong benar kan dana cicil saya ngpa tidak bisa di guna kan,tlong benar kan dana cicil saya ngpa tidak bisa di guna kan,"['tlong', 'benar', 'kan', 'dana', 'cicil', 'saya', 'ngpa', 'tidak', 'bisa', 'di', 'guna', 'kan']","['tlong', 'dana', 'cicil', 'ngpa']","['tlong', 'dana', 'cicil', 'ngpa']","['tlong', 'dana', 'cicil', 'ngpa']","['tlong', 'dana', 'cicil', 'ngpa']","[('tlong', 'PROPN'), ('dana', 'PROPN'), ('cicil', 'PROPN'), ('ngpa', 'PROPN')]","[('dana cicil', 'PERSON')]","[('tlong dana cicil ngpa', 'NP')]","['tlong', 'dana', 'cicil', 'ngpa']","['tlong', 'dana', 'cicil', 'ngpa']","['tlong', 'Danu', 'cicil', 'ngpa']"
Emyr Hauzan,4,2025-09-07 11:56:03,baik lumayan n,baik lumayan n,baik lumayan n,"['baik', 'lumayan', 'n']","['lumayan', 'n']","['lumayan', 'n']","['lumayan', 'n']","['lumayan', 'n']","[('lumayan', 'PROPN'), ('n', 'CCONJ')]","[('lumayan n', 'ORG')]","[('lumayan', 'NP')]","['lumayan', 'n']","['lumayan', 'n']","['lumayan', 'nitrogen']"
Rendy Rindi,1,2025-09-07 11:56:02,ga bisa update,ga bisa update,ga bisa update,"['ga', 'bisa', 'update']","['ga', 'update']","['ga', 'update']","['ga', 'update']","['ga', 'update']","[('ga', 'NOUN'), ('update', 'NOUN')]","[('ga', 'ORG')]","[('ga update', 'NP')]","['tidak', 'update']","['tidak', 'update']","['tidak', 'update']"
Alim Rohman,5,2025-09-07 11:52:45,sangat membantu,sangat membantu,sangat membantu,"['sangat', 'membantu']",['membantu'],['membantu'],['bantu'],['bantu'],"[('bantu', 'VERB')]",[],[],['bantu'],['bantu'],['Bantu']
shelvya fadzrin,5,2025-09-07 11:49:54,mantap,mantap,mantap,['mantap'],['mantap'],['mantap'],['mantap'],['mantap'],"[('mantap', 'NOUN')]",[],"[('mantap', 'NP')]",['mantap'],['mantap'],['mantap']
Agus Solikhin,5,2025-09-07 11:49:34,dana mudah buat transfer dan bayar,dana mudah buat transfer dan bayar,dana mudah buat transfer dan bayar,"['dana', 'mudah', 'buat', 'transfer', 'dan', 'bayar']","['dana', 'mudah', 'transfer', 'bayar']","['dana', 'mudah', 'transfer', 'bayar']","['dana', 'mudah', 'transfer', 'bayar']","['dana', 'mudah', 'transfer', 'bayar']","[('dana', 'PROPN'), ('mudah', 'PROPN'), ('transfer', 'PROPN'), ('bayar', 'NOUN')]","[('dana mudah', 'PERSON')]","[('dana mudah transfer bayar', 'NP')]","['dana', 'mudah', 'transfer', 'bayar']","['dana', 'mudah', 'transfer', 'bayar']","['Danu', 'mudah', 'transportation', 'bayar']"
